date,workerid,amount
Fri Apr 01 13:34:36 PDT 2016,AYUREWGFQG5JV,0.25
Fri Apr 01 13:35:42 PDT 2016,A28PZF7KB8FL7Z,0.25
Fri Apr 01 13:36:09 PDT 2016,A11S8IAAVDXCUS,0.25
Fri Apr 01 13:40:06 PDT 2016,AAXX5LDVJ32F8,0.25
Fri Apr 01 13:43:58 PDT 2016,A1JQSXRIGKONB6,0.25
Fri Apr 01 13:56:29 PDT 2016,A3ULZGQA5AQMTD,0.25
Fri Apr 01 13:58:39 PDT 2016,A399GYOD60WD7M,0.25
Fri Apr 01 14:32:22 PDT 2016,A19YRUF7K6FY78,0.25
Fri Apr 01 14:57:59 PDT 2016,A1X84CLJ7N1PLZ,0.25
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
