workerid,predicate,sentence_type,slide_number,context,utterance,response
0,long,dist,8,regular,long,0.41
0,long,coll,8,regular,long,0.57
0,long,coll,9,regular,heavy,0.76
0,long,dist,9,regular,heavy,0.55
0,long,coll,10,regular,big,0.51
0,long,dist,10,regular,big,0.48
1,long,dist,8,random,heavy,0
1,long,coll,8,random,heavy,0.72
1,long,dist,9,random,big,0.17
1,long,coll,9,random,big,0.9
1,long,coll,10,random,long,0.62
1,long,dist,10,random,long,0
2,long,coll,8,regular,big,0.48
2,long,dist,8,regular,big,0.49
2,long,dist,9,regular,heavy,0.2
2,long,coll,9,regular,heavy,0.19
2,long,coll,10,regular,long,0.12
2,long,dist,10,regular,long,0.11
3,long,dist,8,random,big,0.96
3,long,coll,8,random,big,0.02
3,long,coll,9,random,heavy,0.51
3,long,dist,9,random,heavy,0.51
3,long,dist,10,random,long,0.98
3,long,coll,10,random,long,0.02
4,long,dist,8,random,heavy,0.01
4,long,coll,8,random,heavy,0.98
4,long,dist,9,random,long,0.98
4,long,coll,9,random,long,0.02
4,long,dist,10,random,big,0.97
4,long,coll,10,random,big,0.01
5,long,dist,8,regular,heavy,0.27
5,long,coll,8,regular,heavy,1
5,long,coll,9,regular,big,0.54
5,long,dist,9,regular,big,0.55
5,long,dist,10,regular,long,0
5,long,coll,10,regular,long,1
6,long,dist,8,regular,big,0.46
6,long,coll,8,regular,big,0.63
6,long,dist,9,regular,long,0.59
6,long,coll,9,regular,long,0.41
6,long,dist,10,regular,heavy,0.81
6,long,coll,10,regular,heavy,0.66
7,long,dist,8,regular,heavy,0.19
7,long,coll,8,regular,heavy,0.79
7,long,dist,9,regular,big,0.66
7,long,coll,9,regular,big,0.28
7,long,coll,10,regular,long,0.19
7,long,dist,10,regular,long,0.65
8,long,coll,8,regular,heavy,0.75
8,long,dist,8,regular,heavy,0.27
8,long,dist,9,regular,big,0.18
8,long,coll,9,regular,big,0.77
8,long,coll,10,regular,long,0.4
8,long,dist,10,regular,long,0.06
