workerid,predicate,sentence_type,slide_number,context,utterance,response,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,long,dist,8,random,big,0.02,English,2,Female,49,,Yes,2,Windows,900,1600,Chrome,34OWYT6U3WU9MZNVQ1UTOUTV4699IY,3OC3A14RUZ33RZQ3K2JZUXY2W2YJ3C,Adjectives of English,Answer questions about the interpretations of adjectives,language research stanford fun cognitive science university,$0.25,Tue Apr 12 09:26:48 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu May 12 09:26:48 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=34OWYT6U3WU9MZNVQ1UTOUTV4699IY,3ZY8KE4ISKGNMOMAWC9ZEX4XCVVQVN,0,Submitted,Wed Apr 13 02:10:27 PDT 2016,Tue Apr 12 09:28:23 PDT 2016,Tue Apr 12 09:30:27 PDT 2016,,,,,,[],1.9772333333333334
0,long,coll,8,random,big,0.82,English,2,Female,49,,Yes,2,Windows,900,1600,Chrome,34OWYT6U3WU9MZNVQ1UTOUTV4699IY,3OC3A14RUZ33RZQ3K2JZUXY2W2YJ3C,Adjectives of English,Answer questions about the interpretations of adjectives,language research stanford fun cognitive science university,$0.25,Tue Apr 12 09:26:48 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu May 12 09:26:48 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=34OWYT6U3WU9MZNVQ1UTOUTV4699IY,3ZY8KE4ISKGNMOMAWC9ZEX4XCVVQVN,0,Submitted,Wed Apr 13 02:10:27 PDT 2016,Tue Apr 12 09:28:23 PDT 2016,Tue Apr 12 09:30:27 PDT 2016,,,,,,[],1.9772333333333334
0,long,dist,9,random,heavy,0.19,English,2,Female,49,,Yes,2,Windows,900,1600,Chrome,34OWYT6U3WU9MZNVQ1UTOUTV4699IY,3OC3A14RUZ33RZQ3K2JZUXY2W2YJ3C,Adjectives of English,Answer questions about the interpretations of adjectives,language research stanford fun cognitive science university,$0.25,Tue Apr 12 09:26:48 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu May 12 09:26:48 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=34OWYT6U3WU9MZNVQ1UTOUTV4699IY,3ZY8KE4ISKGNMOMAWC9ZEX4XCVVQVN,0,Submitted,Wed Apr 13 02:10:27 PDT 2016,Tue Apr 12 09:28:23 PDT 2016,Tue Apr 12 09:30:27 PDT 2016,,,,,,[],1.9772333333333334
0,long,coll,9,random,heavy,0.93,English,2,Female,49,,Yes,2,Windows,900,1600,Chrome,34OWYT6U3WU9MZNVQ1UTOUTV4699IY,3OC3A14RUZ33RZQ3K2JZUXY2W2YJ3C,Adjectives of English,Answer questions about the interpretations of adjectives,language research stanford fun cognitive science university,$0.25,Tue Apr 12 09:26:48 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu May 12 09:26:48 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=34OWYT6U3WU9MZNVQ1UTOUTV4699IY,3ZY8KE4ISKGNMOMAWC9ZEX4XCVVQVN,0,Submitted,Wed Apr 13 02:10:27 PDT 2016,Tue Apr 12 09:28:23 PDT 2016,Tue Apr 12 09:30:27 PDT 2016,,,,,,[],1.9772333333333334
0,long,dist,10,random,long,0.25,English,2,Female,49,,Yes,2,Windows,900,1600,Chrome,34OWYT6U3WU9MZNVQ1UTOUTV4699IY,3OC3A14RUZ33RZQ3K2JZUXY2W2YJ3C,Adjectives of English,Answer questions about the interpretations of adjectives,language research stanford fun cognitive science university,$0.25,Tue Apr 12 09:26:48 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu May 12 09:26:48 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=34OWYT6U3WU9MZNVQ1UTOUTV4699IY,3ZY8KE4ISKGNMOMAWC9ZEX4XCVVQVN,0,Submitted,Wed Apr 13 02:10:27 PDT 2016,Tue Apr 12 09:28:23 PDT 2016,Tue Apr 12 09:30:27 PDT 2016,,,,,,[],1.9772333333333334
0,long,coll,10,random,long,0.89,English,2,Female,49,,Yes,2,Windows,900,1600,Chrome,34OWYT6U3WU9MZNVQ1UTOUTV4699IY,3OC3A14RUZ33RZQ3K2JZUXY2W2YJ3C,Adjectives of English,Answer questions about the interpretations of adjectives,language research stanford fun cognitive science university,$0.25,Tue Apr 12 09:26:48 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu May 12 09:26:48 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=34OWYT6U3WU9MZNVQ1UTOUTV4699IY,3ZY8KE4ISKGNMOMAWC9ZEX4XCVVQVN,0,Submitted,Wed Apr 13 02:10:27 PDT 2016,Tue Apr 12 09:28:23 PDT 2016,Tue Apr 12 09:30:27 PDT 2016,,,,,,[],1.9772333333333334
1,long,coll,8,regular,big,0.26,English,1,Male,28,,Yes,3,Windows,1080,1920,Chrome,34OWYT6U3WU9MZNVQ1UTOUTV4699IY,3OC3A14RUZ33RZQ3K2JZUXY2W2YJ3C,Adjectives of English,Answer questions about the interpretations of adjectives,language research stanford fun cognitive science university,$0.25,Tue Apr 12 09:26:48 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu May 12 09:26:48 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=34OWYT6U3WU9MZNVQ1UTOUTV4699IY,3OE22WJIGJ1N99XARMZUIB2EYOMQUY,1,Submitted,Wed Apr 13 02:10:53 PDT 2016,Tue Apr 12 09:27:36 PDT 2016,Tue Apr 12 09:30:53 PDT 2016,,,,,,[],2.3501166666666666
1,long,dist,8,regular,big,0.76,English,1,Male,28,,Yes,3,Windows,1080,1920,Chrome,34OWYT6U3WU9MZNVQ1UTOUTV4699IY,3OC3A14RUZ33RZQ3K2JZUXY2W2YJ3C,Adjectives of English,Answer questions about the interpretations of adjectives,language research stanford fun cognitive science university,$0.25,Tue Apr 12 09:26:48 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu May 12 09:26:48 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=34OWYT6U3WU9MZNVQ1UTOUTV4699IY,3OE22WJIGJ1N99XARMZUIB2EYOMQUY,1,Submitted,Wed Apr 13 02:10:53 PDT 2016,Tue Apr 12 09:27:36 PDT 2016,Tue Apr 12 09:30:53 PDT 2016,,,,,,[],2.3501166666666666
1,long,dist,9,regular,long,0.7,English,1,Male,28,,Yes,3,Windows,1080,1920,Chrome,34OWYT6U3WU9MZNVQ1UTOUTV4699IY,3OC3A14RUZ33RZQ3K2JZUXY2W2YJ3C,Adjectives of English,Answer questions about the interpretations of adjectives,language research stanford fun cognitive science university,$0.25,Tue Apr 12 09:26:48 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu May 12 09:26:48 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=34OWYT6U3WU9MZNVQ1UTOUTV4699IY,3OE22WJIGJ1N99XARMZUIB2EYOMQUY,1,Submitted,Wed Apr 13 02:10:53 PDT 2016,Tue Apr 12 09:27:36 PDT 2016,Tue Apr 12 09:30:53 PDT 2016,,,,,,[],2.3501166666666666
1,long,coll,9,regular,long,0.23,English,1,Male,28,,Yes,3,Windows,1080,1920,Chrome,34OWYT6U3WU9MZNVQ1UTOUTV4699IY,3OC3A14RUZ33RZQ3K2JZUXY2W2YJ3C,Adjectives of English,Answer questions about the interpretations of adjectives,language research stanford fun cognitive science university,$0.25,Tue Apr 12 09:26:48 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu May 12 09:26:48 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=34OWYT6U3WU9MZNVQ1UTOUTV4699IY,3OE22WJIGJ1N99XARMZUIB2EYOMQUY,1,Submitted,Wed Apr 13 02:10:53 PDT 2016,Tue Apr 12 09:27:36 PDT 2016,Tue Apr 12 09:30:53 PDT 2016,,,,,,[],2.3501166666666666
