date,workerid,amount
Tue Apr 12 09:29:18 PDT 2016,A2HDNKVDNHOKKX,0.25
Tue Apr 12 09:30:57 PDT 2016,A1CC1ESUM2JWJ2,0.25
Tue Apr 12 09:33:35 PDT 2016,AYYSG3O9FNU15,0.25
Tue Apr 12 09:38:30 PDT 2016,A3HBMPB74FWI1,0.25
Tue Apr 12 10:03:18 PDT 2016,A26ENSYH8UVYC2,0.25
Tue Apr 12 10:28:54 PDT 2016,A1BPHW0KCTG34P,0.25
Tue Apr 12 10:44:14 PDT 2016,AKSJ3C5O3V9RB,0.25
Tue Apr 12 11:18:18 PDT 2016,A1PPOA90IANNW3,0.25
Tue Apr 12 11:27:34 PDT 2016,A3JN2PPWSAPSFI,0.25
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
