date,workerid,amount
Wed Apr 13 08:18:53 PDT 2016,A1LDZINXOZSW48,0.5
Wed Apr 13 08:19:46 PDT 2016,ARZEZGD9TYK3Q,0.5
Wed Apr 13 08:22:33 PDT 2016,AGPBP85B17VXL,0.5
Wed Apr 13 08:23:58 PDT 2016,A30BLOFPF8HRU9,0.5
Wed Apr 13 08:24:28 PDT 2016,A1XQLUUL2K4DC7,0.5
Wed Apr 13 08:28:21 PDT 2016,A2C73Y1COWCA51,0.5
Wed Apr 13 08:37:02 PDT 2016,AO7FM98CP90CL,0.5
Wed Apr 13 08:38:38 PDT 2016,A1ZK3LRUC4ICY7,0.5
Wed Apr 13 08:42:58 PDT 2016,A28WKEUHQLFVS3,0.5
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
