workerid,predicate,utterance,response,context,sentence_type
0,tall,flat,0.75,random,dist
0,tall,flat,0.01,random,coll
0,tall,slight,0.16,random,dist
0,tall,slight,0.82,random,coll
0,tall,tiny,0.15,random,dist
0,tall,tiny,0.87,random,coll
0,tall,little,0.82,random,dist
0,tall,little,0.16,random,coll
0,tall,big,0.98,random,coll
0,tall,big,0,random,dist
0,tall,deep,0.02,random,dist
0,tall,deep,0.95,random,coll
0,tall,huge,0.03,random,dist
0,tall,huge,0.99,random,coll
0,tall,short,0.01,random,coll
0,tall,short,0.97,random,dist
0,tall,mini,0.97,random,dist
0,tall,mini,0.01,random,coll
0,tall,fat,0.99,random,coll
0,tall,fat,0.02,random,dist
0,tall,long,0.98,random,coll
0,tall,long,0.02,random,dist
0,tall,thick,0.01,random,dist
0,tall,thick,0.96,random,coll
0,tall,tall,0.98,random,coll
0,tall,tall,0.01,random,dist
0,tall,low,0.89,random,dist
0,tall,low,0.03,random,coll
0,tall,heavy,0.99,random,coll
0,tall,heavy,0.49,random,dist
0,tall,large,0.99,random,coll
0,tall,large,0.36,random,dist
0,tall,small,0.01,random,coll
0,tall,small,0.97,random,dist
0,tall,narrow,0.71,random,dist
0,tall,narrow,0.01,random,coll
0,tall,thin,0.03,random,coll
0,tall,thin,0.73,random,dist
0,tall,humongous,0.97,random,coll
0,tall,humongous,0.02,random,dist
0,tall,wide,0.24,random,dist
0,tall,wide,0.94,random,coll
0,tall,lengthy,0.98,random,coll
0,tall,lengthy,0.01,random,dist
0,tall,high,0.99,random,coll
0,tall,high,0.01,random,dist
0,tall,full,0.47,random,coll
0,tall,full,0.46,random,dist
0,tall,skinny,0.01,random,coll
0,tall,skinny,0.95,random,dist
1,tall,high,0.9,regular,coll
1,tall,high,0.09,regular,dist
1,tall,heavy,0.84,regular,dist
1,tall,heavy,0.4,regular,coll
1,tall,skinny,0.93,regular,dist
1,tall,skinny,0.05,regular,coll
1,tall,thick,0.13,regular,coll
1,tall,thick,0.9,regular,dist
1,tall,narrow,0.9,regular,dist
1,tall,narrow,0.38,regular,coll
1,tall,full,0.28,regular,coll
1,tall,full,0.89,regular,dist
1,tall,big,0.9,regular,dist
1,tall,big,0.71,regular,coll
1,tall,fat,0.84,regular,dist
1,tall,fat,0.75,regular,coll
1,tall,small,0.36,regular,coll
1,tall,small,0.83,regular,dist
1,tall,deep,0.73,regular,coll
1,tall,deep,0.73,regular,dist
1,tall,tiny,0.87,regular,dist
1,tall,tiny,0.77,regular,coll
1,tall,mini,0.82,regular,dist
1,tall,mini,0.74,regular,coll
1,tall,long,0.83,regular,dist
1,tall,long,0.45,regular,coll
1,tall,short,0.81,regular,dist
1,tall,short,0.13,regular,coll
1,tall,tall,0.8,regular,dist
1,tall,tall,0.74,regular,coll
1,tall,lengthy,0.84,regular,dist
1,tall,lengthy,0.38,regular,coll
1,tall,thin,0.35,regular,coll
1,tall,thin,0.83,regular,dist
1,tall,huge,0.82,regular,dist
1,tall,huge,0.67,regular,coll
1,tall,humongous,0.45,regular,coll
1,tall,humongous,0.82,regular,dist
1,tall,slight,0.43,regular,dist
1,tall,slight,0.7,regular,coll
1,tall,large,0.8,regular,coll
1,tall,large,0.61,regular,dist
1,tall,flat,0.41,regular,coll
1,tall,flat,0.72,regular,dist
