"","No","Yes","c_ratio"
"children small",4,76,19
"children young",4,74,18.5
"classes small",8,72,9
"colors bright",2,78,39
"conditions appalling",2,76,38
"conditions difficult",2,74,37
"curtains open",6,72,12
"defendants guilty",4,76,19
"defendants liable",10,70,7
"dogs quiet",2,78,39
"doors closed",10,70,7
"doors open",10,66,6.6
"eyes bright",4,72,18
"eyes open",4,74,18.5
"facts similar",14,66,4.71428571428571
"gates open",8,68,8.5
"guests due",50,30,0.6
"injuries consistent",18,62,3.44444444444444
"items unreasonable",10,70,7
"men guilty",6,74,12.3333333333333
"natives friendly",8,72,9
"numbers small",8,68,8.5
"omens good",14,62,4.42857142857143
"papers full",18,60,3.33333333333333
"people friendly",4,74,18.5
"pubs full",8,72,9
"pubs open",26,52,2
"results disappointing",4,74,18.5
"results encouraging",2,74,37
"results gratifying",6,74,12.3333333333333
"roads busy",8,72,9
"rooms small",6,72,12
"shares unchanged",20,56,2.8
"shops closed",32,48,1.5
"streets full",10,68,6.8
"streets quiet",4,76,19
"walls bare",6,74,12.3333333333333
"walls white",4,74,18.5
"windows dark",8,70,8.75
"windows open",6,72,12
