QUDs,QUD,noise,pcollective
null-max,flat,high,0.188724064
null-max,flat,mid,0.199348754
null-max,flat,low,0.216934239
null-max,max,high,0.183530402
null-max,max,mid,0.187938944
null-max,max,low,0.197443878
null-max,null,high,0.1948634
null-max,null,mid,0.212610406
null-max,null,low,0.239085502
null-sum,flat,high,0.311350111
null-sum,flat,mid,0.297555782
null-sum,flat,low,0.309009162
null-sum,sum,high,0.348795574
null-sum,sum,mid,0.323122138
null-sum,sum,low,0.326158541
null-sum,null,high,0.264004033
null-sum,null,mid,0.266563931
null-sum,null,low,0.288758729
null-min,flat,high,0.3096495
null-min,flat,mid,0.326118955
null-min,flat,low,0.338693651
null-min,min,high,0.340032029
null-min,min,mid,0.354131611
null-min,min,low,0.360745968
null-min,null,high,0.26688505
null-min,null,mid,0.2869311
null-min,null,low,0.308466027
