"","workerid","trial","utterance","sceanrio","response","context","sentence_type","language"
"1",0,1,"tall","move",0.52,"regular","dist","English"
"2",0,1,"tall","move",0.77,"regular","coll","English"
"3",0,2,"heavy","move",0.41,"regular","dist","English"
"4",0,2,"heavy","move",0.91,"regular","coll","English"
"5",0,3,"big","move",0.33,"regular","dist","English"
"6",0,3,"big","move",0.81,"regular","coll","English"
"7",1,1,"tall","inspect",0.76,"regular","dist","English"
"8",1,1,"tall","inspect",0.4,"regular","coll","English"
"9",1,2,"heavy","inspect",0.92,"regular","coll","English"
"10",1,2,"heavy","inspect",0.37,"regular","dist","English"
"11",1,3,"big","inspect",0.46,"regular","dist","English"
"12",1,3,"big","inspect",1,"regular","coll","English"
"13",2,1,"big","move",0.97,"random","coll","English"
"14",2,1,"big","move",0.31,"random","dist","English"
"15",2,2,"heavy","move",0.98,"random","coll","English"
"16",2,2,"heavy","move",0,"random","dist","English"
"17",2,3,"tall","move",0.99,"random","coll","English"
"18",2,3,"tall","move",0.01,"random","dist","English"
"19",3,1,"tall","move",0.77,"regular","coll","English"
"20",3,1,"tall","move",0.2,"regular","dist","English"
"21",3,2,"heavy","move",0.57,"regular","dist","English"
"22",3,2,"heavy","move",0.58,"regular","coll","English"
"23",3,3,"big","move",0.52,"regular","dist","English"
"24",3,3,"big","move",0.51,"regular","coll","English"
"25",4,1,"big","inspect",0.17,"regular","dist","English"
"26",4,1,"big","inspect",0.93,"regular","coll","English"
"27",4,2,"tall","inspect",0.05,"regular","dist","English"
"28",4,2,"tall","inspect",1,"regular","coll","English"
"29",4,3,"heavy","inspect",0.36,"regular","dist","English"
"30",4,3,"heavy","inspect",0.82,"regular","coll","English"
"31",5,1,"big","move",0.83,"regular","coll","English"
"32",5,1,"big","move",0.21,"regular","dist","English"
"33",5,2,"heavy","move",0.27,"regular","dist","English"
"34",5,2,"heavy","move",0.76,"regular","coll","English"
"35",5,3,"tall","move",0.72,"regular","coll","English"
"36",5,3,"tall","move",0.39,"regular","dist","English"
"37",6,1,"tall","move",0.92,"random","coll","English"
"38",6,1,"tall","move",0.56,"random","dist","English"
"39",6,2,"heavy","move",0.42,"random","dist","English"
"40",6,2,"heavy","move",0.97,"random","coll","English"
"41",6,3,"big","move",0.42,"random","coll","English"
"42",6,3,"big","move",0.95,"random","dist","English"
"43",7,1,"tall","inspect",0.04,"random","coll","English"
"44",7,1,"tall","inspect",0.62,"random","dist","English"
"45",7,2,"heavy","inspect",0.1,"random","dist","English"
"46",7,2,"heavy","inspect",0.78,"random","coll","English"
"47",7,3,"big","inspect",0.11,"random","coll","English"
"48",7,3,"big","inspect",0.81,"random","dist","English"
"49",8,1,"big","move",0.79,"regular","coll","English"
"50",8,1,"big","move",0.17,"regular","dist","English"
"51",8,2,"tall","move",0,"regular","dist","English"
"52",8,2,"tall","move",1,"regular","coll","English"
"53",8,3,"heavy","move",0.98,"regular","coll","English"
"54",8,3,"heavy","move",0,"regular","dist","English"
"55",9,1,"heavy","inspect",0.21,"regular","coll","english"
"56",9,1,"heavy","inspect",0.7,"regular","dist","english"
"57",9,2,"tall","inspect",0,"regular","coll","english"
"58",9,2,"tall","inspect",0.98,"regular","dist","english"
"59",9,3,"big","inspect",0.47,"regular","coll","english"
"60",9,3,"big","inspect",0.47,"regular","dist","english"
"61",10,1,"tall","move",0.5,"random","dist","English"
"62",10,1,"tall","move",0.48,"random","coll","English"
"63",10,2,"heavy","move",0.85,"random","dist","English"
"64",10,2,"heavy","move",0.83,"random","coll","English"
"65",10,3,"big","move",0.72,"random","dist","English"
"66",10,3,"big","move",0.19,"random","coll","English"
"67",11,1,"big","move",1,"regular","coll","English"
"68",11,1,"big","move",0,"regular","dist","English"
"69",11,2,"heavy","move",1,"regular","coll","English"
"70",11,2,"heavy","move",0,"regular","dist","English"
"71",11,3,"tall","move",1,"regular","coll","English"
"72",11,3,"tall","move",0,"regular","dist","English"
"73",12,1,"big","inspect",0.83,"regular","dist","English"
"74",12,1,"big","inspect",0.15,"regular","coll","English"
"75",12,2,"heavy","inspect",0.91,"regular","dist","English"
"76",12,2,"heavy","inspect",0.05,"regular","coll","English"
"77",12,3,"tall","inspect",0.87,"regular","coll","English"
"78",12,3,"tall","inspect",0.06,"regular","dist","English"
"79",13,1,"big","inspect",0.08,"random","coll","English"
"80",13,1,"big","inspect",1,"random","dist","English"
"81",13,2,"heavy","inspect",0.04,"random","coll","English"
"82",13,2,"heavy","inspect",1,"random","dist","English"
"83",13,3,"tall","inspect",0.02,"random","dist","English"
"84",13,3,"tall","inspect",1,"random","coll","English"
"85",14,1,"big","inspect",1,"regular","coll","English"
"86",14,1,"big","inspect",0,"regular","dist","English"
"87",14,2,"tall","inspect",0.01,"regular","dist","English"
"88",14,2,"tall","inspect",0.98,"regular","coll","English"
"89",14,3,"heavy","inspect",0.47,"regular","dist","English"
"90",14,3,"heavy","inspect",0.99,"regular","coll","English"
"97",16,1,"heavy","move",0,"random","dist","english"
"98",16,1,"heavy","move",0.19,"random","coll","english"
"99",16,2,"big","move",0.23,"random","dist","english"
"100",16,2,"big","move",0.15,"random","coll","english"
"101",16,3,"tall","move",0.49,"random","dist","english"
"102",16,3,"tall","move",0.58,"random","coll","english"
"103",17,1,"tall","move",0.54,"regular","dist","English"
"104",17,1,"tall","move",0.97,"regular","coll","English"
"105",17,2,"big","move",0.98,"regular","coll","English"
"106",17,2,"big","move",0.48,"regular","dist","English"
"107",17,3,"heavy","move",0.26,"regular","dist","English"
"108",17,3,"heavy","move",0.99,"regular","coll","English"
"109",18,1,"big","inspect",0.18,"random","coll","English"
"110",18,1,"big","inspect",0.78,"random","dist","English"
"111",18,2,"tall","inspect",0.1,"random","coll","English"
"112",18,2,"tall","inspect",0.78,"random","dist","English"
"113",18,3,"heavy","inspect",0.73,"random","coll","English"
"114",18,3,"heavy","inspect",0.21,"random","dist","English"
"115",19,1,"heavy","inspect",0.79,"random","dist","English"
"116",19,1,"heavy","inspect",0.13,"random","coll","English"
"117",19,2,"tall","inspect",0.73,"random","dist","English"
"118",19,2,"tall","inspect",0.23,"random","coll","English"
"119",19,3,"big","inspect",0.66,"random","coll","English"
"120",19,3,"big","inspect",0.31,"random","dist","English"
"121",20,1,"heavy","inspect",0.37,"random","dist","English"
"122",20,1,"heavy","inspect",0.55,"random","coll","English"
"123",20,2,"tall","inspect",0.31,"random","dist","English"
"124",20,2,"tall","inspect",0.64,"random","coll","English"
"125",20,3,"big","inspect",0.64,"random","coll","English"
"126",20,3,"big","inspect",0.39,"random","dist","English"
"127",21,1,"tall","move",0.14,"regular","dist","English"
"128",21,1,"tall","move",0.89,"regular","coll","English"
"129",21,2,"heavy","move",0.12,"regular","dist","English"
"130",21,2,"heavy","move",0.89,"regular","coll","English"
"131",21,3,"big","move",0.89,"regular","coll","English"
"132",21,3,"big","move",0.05,"regular","dist","English"
"133",22,1,"heavy","move",0.77,"random","dist","english"
"134",22,1,"heavy","move",0.38,"random","coll","english"
"135",22,2,"tall","move",0.54,"random","dist","english"
"136",22,2,"tall","move",0.77,"random","coll","english"
"137",22,3,"big","move",0.93,"random","dist","english"
"138",22,3,"big","move",0.15,"random","coll","english"
"139",23,1,"big","move",0.14,"random","dist","English"
"140",23,1,"big","move",0.44,"random","coll","English"
"141",23,2,"heavy","move",0.21,"random","coll","English"
"142",23,2,"heavy","move",0.18,"random","dist","English"
"143",23,3,"tall","move",0.3,"random","coll","English"
"144",23,3,"tall","move",0.12,"random","dist","English"
"145",24,1,"heavy","move",0.96,"regular","coll","ENGLISH"
"146",24,1,"heavy","move",0.17,"regular","dist","ENGLISH"
"147",24,2,"tall","move",0.3,"regular","dist","ENGLISH"
"148",24,2,"tall","move",1,"regular","coll","ENGLISH"
"149",24,3,"big","move",0.52,"regular","coll","ENGLISH"
"150",24,3,"big","move",0.85,"regular","dist","ENGLISH"
"151",25,1,"tall","inspect",0.85,"random","dist","English"
"152",25,1,"tall","inspect",0.14,"random","coll","English"
"153",25,2,"big","inspect",0.15,"random","coll","English"
"154",25,2,"big","inspect",0.84,"random","dist","English"
"155",25,3,"heavy","inspect",0.86,"random","dist","English"
"156",25,3,"heavy","inspect",0.14,"random","coll","English"
"157",26,1,"heavy","inspect",0.66,"random","coll","English"
"158",26,1,"heavy","inspect",0.32,"random","dist","English"
"159",26,2,"tall","inspect",0.61,"random","coll","English"
"160",26,2,"tall","inspect",0.29,"random","dist","English"
"161",26,3,"big","inspect",0.4,"random","dist","English"
"162",26,3,"big","inspect",0.72,"random","coll","English"
"163",27,1,"big","inspect",0.77,"regular","coll","English"
"164",27,1,"big","inspect",0.27,"regular","dist","English"
"165",27,2,"heavy","inspect",0.49,"regular","coll","English"
"166",27,2,"heavy","inspect",0.5,"regular","dist","English"
"167",27,3,"tall","inspect",0.04,"regular","dist","English"
"168",27,3,"tall","inspect",0.95,"regular","coll","English"
"169",28,1,"big","move",0.65,"regular","coll","English"
"170",28,1,"big","move",0.43,"regular","dist","English"
"171",28,2,"tall","move",0.16,"regular","dist","English"
"172",28,2,"tall","move",1,"regular","coll","English"
"173",28,3,"heavy","move",0.51,"regular","dist","English"
"174",28,3,"heavy","move",0.65,"regular","coll","English"
"175",29,1,"big","move",0.26,"regular","dist","English"
"176",29,1,"big","move",0.4,"regular","coll","English"
"177",29,2,"tall","move",0.71,"regular","dist","English"
"178",29,2,"tall","move",0.9,"regular","coll","English"
"179",29,3,"heavy","move",0.39,"regular","dist","English"
"180",29,3,"heavy","move",0.76,"regular","coll","English"
"181",30,1,"big","inspect",0.16,"regular","dist","english"
"182",30,1,"big","inspect",0.87,"regular","coll","english"
"183",30,2,"tall","inspect",0.27,"regular","dist","english"
"184",30,2,"tall","inspect",0.9,"regular","coll","english"
"185",30,3,"heavy","inspect",0.26,"regular","coll","english"
"186",30,3,"heavy","inspect",0.76,"regular","dist","english"
"187",31,1,"heavy","inspect",0.93,"random","dist","English"
"188",31,1,"heavy","inspect",0.07,"random","coll","English"
"189",31,2,"tall","inspect",0.06,"random","coll","English"
"190",31,2,"tall","inspect",0.93,"random","dist","English"
"191",31,3,"big","inspect",0.08,"random","coll","English"
"192",31,3,"big","inspect",0.91,"random","dist","English"
"193",32,1,"big","move",0.46,"random","coll","English"
"194",32,1,"big","move",0.21,"random","dist","English"
"195",32,2,"tall","move",0.68,"random","dist","English"
"196",32,2,"tall","move",0.51,"random","coll","English"
"197",32,3,"heavy","move",0.3,"random","dist","English"
"198",32,3,"heavy","move",0.8,"random","coll","English"
"199",33,1,"heavy","inspect",0.96,"random","dist","English"
"200",33,1,"heavy","inspect",0.96,"random","coll","English"
"201",33,2,"big","inspect",0.92,"random","coll","English"
"202",33,2,"big","inspect",0.93,"random","dist","English"
"203",33,3,"tall","inspect",0.94,"random","dist","English"
"204",33,3,"tall","inspect",0.94,"random","coll","English"
"205",34,1,"tall","move",0.83,"random","coll","English"
"206",34,1,"tall","move",0.47,"random","dist","English"
"207",34,2,"heavy","move",0.52,"random","dist","English"
"208",34,2,"heavy","move",0.52,"random","coll","English"
"209",34,3,"big","move",0.6,"random","dist","English"
"210",34,3,"big","move",0.71,"random","coll","English"
"211",35,1,"big","move",0.19,"random","coll","English"
"212",35,1,"big","move",0.8,"random","dist","English"
"213",35,2,"heavy","move",0.1,"random","dist","English"
"214",35,2,"heavy","move",0.88,"random","coll","English"
"215",35,3,"tall","move",0.76,"random","dist","English"
"216",35,3,"tall","move",0.22,"random","coll","English"
"217",36,1,"heavy","inspect",0.79,"random","dist","English"
"218",36,1,"heavy","inspect",0.25,"random","coll","English"
"219",36,2,"big","inspect",0.84,"random","coll","English"
"220",36,2,"big","inspect",0.18,"random","dist","English"
"221",36,3,"tall","inspect",0.1,"random","dist","English"
"222",36,3,"tall","inspect",0.79,"random","coll","English"
"223",37,1,"heavy","move",0.73,"random","coll","english"
"224",37,1,"heavy","move",0.25,"random","dist","english"
"225",37,2,"big","move",0.21,"random","coll","english"
"226",37,2,"big","move",0.9,"random","dist","english"
"227",37,3,"tall","move",0.71,"random","dist","english"
"228",37,3,"tall","move",0.19,"random","coll","english"
"229",38,1,"big","move",0.8,"random","coll","English"
"230",38,1,"big","move",0,"random","dist","English"
"231",38,2,"heavy","move",0.39,"random","dist","English"
"232",38,2,"heavy","move",0.92,"random","coll","English"
"233",38,3,"tall","move",0.22,"random","dist","English"
"234",38,3,"tall","move",0.12,"random","coll","English"
"235",39,1,"big","move",0.74,"regular","dist","English"
"236",39,1,"big","move",1,"regular","coll","English"
"237",39,2,"tall","move",1,"regular","coll","English"
"238",39,2,"tall","move",0.44,"regular","dist","English"
"239",39,3,"heavy","move",1,"regular","coll","English"
"240",39,3,"heavy","move",0.48,"regular","dist","English"
"241",40,1,"tall","move",0.27,"random","dist","english"
"242",40,1,"tall","move",0.78,"random","coll","english"
"243",40,2,"big","move",0.15,"random","dist","english"
"244",40,2,"big","move",0.77,"random","coll","english"
"245",40,3,"heavy","move",0.81,"random","coll","english"
"246",40,3,"heavy","move",0.22,"random","dist","english"
"247",41,1,"tall","move",1,"regular","coll","English"
"248",41,1,"tall","move",0,"regular","dist","English"
"249",41,2,"big","move",0,"regular","dist","English"
"250",41,2,"big","move",1,"regular","coll","English"
"251",41,3,"heavy","move",0,"regular","dist","English"
"252",41,3,"heavy","move",1,"regular","coll","English"
"253",42,1,"heavy","inspect",0.77,"regular","coll","English"
"254",42,1,"heavy","inspect",0.77,"regular","dist","English"
"255",42,2,"tall","inspect",0.37,"regular","dist","English"
"256",42,2,"tall","inspect",0.69,"regular","coll","English"
"257",42,3,"big","inspect",0.32,"regular","coll","English"
"258",42,3,"big","inspect",0.68,"regular","dist","English"
"259",43,1,"tall","inspect",0.87,"random","dist","English"
"260",43,1,"tall","inspect",0.32,"random","coll","English"
"261",43,2,"heavy","inspect",0.29,"random","coll","English"
"262",43,2,"heavy","inspect",0.61,"random","dist","English"
"263",43,3,"big","inspect",0.9,"random","coll","English"
"264",43,3,"big","inspect",0.12,"random","dist","English"
"265",44,1,"tall","move",0.21,"regular","dist","English"
"266",44,1,"tall","move",0.97,"regular","coll","English"
"267",44,2,"heavy","move",0.18,"regular","dist","English"
"268",44,2,"heavy","move",1,"regular","coll","English"
"269",44,3,"big","move",1,"regular","coll","English"
"270",44,3,"big","move",0.29,"regular","dist","English"
"271",45,1,"tall","inspect",0.02,"random","dist","English"
"272",45,1,"tall","inspect",0.56,"random","coll","English"
"273",45,2,"big","inspect",0.67,"random","coll","English"
"274",45,2,"big","inspect",0.07,"random","dist","English"
"275",45,3,"heavy","inspect",0.03,"random","dist","English"
"276",45,3,"heavy","inspect",0.11,"random","coll","English"
"283",47,1,"tall","move",0.97,"regular","coll","English"
"284",47,1,"tall","move",0,"regular","dist","English"
"285",47,2,"big","move",0,"regular","coll","English"
"286",47,2,"big","move",1,"regular","dist","English"
"287",47,3,"heavy","move",1,"regular","dist","English"
"288",47,3,"heavy","move",0,"regular","coll","English"
"289",48,1,"heavy","move",0.52,"regular","coll","English"
"290",48,1,"heavy","move",0.52,"regular","dist","English"
"291",48,2,"tall","move",0,"regular","dist","English"
"292",48,2,"tall","move",1,"regular","coll","English"
"293",48,3,"big","move",1,"regular","coll","English"
